,Title,urls,Difficulty,Tags,Acceptance,Submission,Acceptance_Rate,Likes,Dislikes
74,75. Sort Colors,/problems/sort-colors,Medium,"['Array', 'Two Pointers', 'Sorting']",721180,1414955,50.9%,6027,329
75,76. Minimum Window Substring,/problems/minimum-window-substring,Hard,"['Hash Table', 'String', 'Sliding Window']",564793,1533866,36.8%,7208,466
76,77. Combinations,/problems/combinations,Medium,"['Array', 'Backtracking']",384729,649448,59.2%,2523,89
77,78. Subsets,/problems/subsets,Medium,"['Array', 'Backtracking', 'Bit Manipulation']",809356,1209199,66.9%,6401,118
78,79. Word Search,/problems/word-search,Medium,"['Array', 'Backtracking', 'Matrix']",702048,1851113,37.9%,6244,254
79,80. Remove Duplicates from Sorted Array II,/problems/remove-duplicates-from-sorted-array-ii,Medium,"['Array', 'Two Pointers']",340399,723569,47.0%,2048,822
80,81. Search in Rotated Sorted Array II,/problems/search-in-rotated-sorted-array-ii,Medium,"['Array', 'Binary Search']",318190,937746,33.9%,2384,605
81,82. Remove Duplicates from Sorted List II,/problems/remove-duplicates-from-sorted-list-ii,Medium,"['Linked List', 'Two Pointers']",345759,860728,40.1%,3220,129
82,83. Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,Easy,['Linked List'],627721,1330962,47.1%,2856,154
83,84. Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,Hard,"['Array', 'Stack', 'Monotonic Stack']",381684,999417,38.1%,6517,112
84,85. Maximal Rectangle,/problems/maximal-rectangle,Hard,"['Array', 'Dynamic Programming', 'Stack', 'Matrix', 'Monotonic Stack']",239516,593792,40.3%,4675,92
85,86. Partition List,/problems/partition-list,Medium,"['Linked List', 'Two Pointers']",289314,634424,45.5%,2514,428
86,87. Scramble String,/problems/scramble-string,Hard,"['String', 'Dynamic Programming']",128595,367613,35.0%,949,848
87,88. Merge Sorted Array,/problems/merge-sorted-array,Easy,"['Array', 'Two Pointers', 'Sorting']",934589,2261400,41.3%,489,64
88,89. Gray Code,/problems/gray-code,Medium,"['Math', 'Backtracking', 'Bit Manipulation']",209065,391057,53.4%,1108,2033
89,90. Subsets II,/problems/subsets-ii,Medium,"['Array', 'Backtracking', 'Bit Manipulation']",360824,722157,49.9%,2884,114
90,91. Decode Ways,/problems/decode-ways,Medium,"['String', 'Dynamic Programming']",596068,2153198,27.6%,4826,3523
91,92. Reverse Linked List II,/problems/reverse-linked-list-ii,Medium,['Linked List'],388491,925371,41.9%,4305,219
92,93. Restore IP Addresses,/problems/restore-ip-addresses,Medium,"['String', 'Backtracking']",244320,630766,38.7%,1918,580
93,94. Binary Tree Inorder Traversal,/problems/binary-tree-inorder-traversal,Easy,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']",1053565,1561839,67.4%,5165,222
94,95. Unique Binary Search Trees II,/problems/unique-binary-search-trees-ii,Medium,"['Dynamic Programming', 'Backtracking', 'Tree', 'Binary Search Tree', 'Binary Tree']",239149,540600,44.2%,3327,221
95,96. Unique Binary Search Trees,/problems/unique-binary-search-trees,Medium,"['Math', 'Dynamic Programming', 'Tree', 'Binary Search Tree', 'Binary Tree']",377721,682145,55.3%,5005,185
96,97. Interleaving String,/problems/interleaving-string,Medium,"['String', 'Dynamic Programming']",217619,646122,33.7%,2806,144
97,98. Validate Binary Search Tree,/problems/validate-binary-search-tree,Medium,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",1043384,3563004,29.3%,6680,727
98,99. Recover Binary Search Tree,/problems/recover-binary-search-tree,Medium,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",222892,509940,43.7%,2789,106
99,100. Same Tree,/problems/same-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",763655,1399833,54.5%,3599,94
100,101. Symmetric Tree,/problems/symmetric-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",942758,1912399,49.2%,6700,175
101,102. Binary Tree Level Order Traversal,/problems/binary-tree-level-order-traversal,Medium,"['Tree', 'Breadth-First Search', 'Binary Tree']",904750,1556791,58.1%,5255,113
102,103. Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,Medium,"['Tree', 'Breadth-First Search', 'Binary Tree']",541984,1058421,51.2%,3846,132
103,104. Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",1205773,1742887,69.1%,4346,102
104,105. Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']",543526,1003622,54.1%,5967,145
105,106. Construct Binary Tree from Inorder and Postorder Traversal,/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']",312251,607807,51.3%,2967,57
106,107. Binary Tree Level Order Traversal II,/problems/binary-tree-level-order-traversal-ii,Medium,"['Tree', 'Breadth-First Search', 'Binary Tree']",434504,771515,56.3%,2342,256
107,108. Convert Sorted Array to Binary Search Tree,/problems/convert-sorted-array-to-binary-search-tree,Easy,"['Array', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']",563573,905933,62.1%,4329,292
108,109. Convert Sorted List to Binary Search Tree,/problems/convert-sorted-list-to-binary-search-tree,Medium,"['Linked List', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']",320289,607658,52.6%,3466,103
109,110. Balanced Binary Tree,/problems/balanced-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Binary Tree']",599431,1323439,45.3%,3893,243
110,111. Minimum Depth of Binary Tree,/problems/minimum-depth-of-binary-tree,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",590009,1453919,40.5%,2714,843
